event;info
InitGame:;\sv_floodProtect\1\sv_maxPing\0\sv_minPing\0\sv_maxRate\10000\sv_minRate\0\sv_hostname\Code Miner Server\g_gametype\0\sv_privateClients\2\sv_maxclients\16\sv_allowDownload\0\dmflags\0\fraglimit\20\timelimit\15\g_maxGameClients\0\capturelimit\8\version\ioq3 1.36 linux-x86_64 Apr 12 2009\protocol\68\mapname\q3dm17\gamename\baseq3\g_needpass\0
Exit:;Timelimit hit.
ClientConnect:;2
ClientUserinfoChanged:;2 n\Isgalamido\t\0\model\xian/default\hmodel\xian/default\g_redteam\\g_blueteam\\c1\4\c2\5\hc\100\w\0\l\0\tt\0\tl\0
ClientUserinfoChanged:;2 n\Isgalamido\t\0\model\uriel/zael\hmodel\uriel/zael\g_redteam\\g_blueteam\\c1\5\c2\5\hc\100\w\0\l\0\tt\0\tl\0
ClientBegin:;2
ShutdownGame:;
InitGame:;\sv_floodProtect\1\sv_maxPing\0\sv_minPing\0\sv_maxRate\10000\sv_minRate\0\sv_hostname\Code Miner Server\g_gametype\0\sv_privateClients\2\sv_maxclients\16\sv_allowDownload\0\bot_minplayers\0\dmflags\0\fraglimit\20\timelimit\15\g_maxGameClients\0\capturelimit\8\version\ioq3 1.36 linux-x86_64 Apr 12 2009\protocol\68\mapname\q3dm17\gamename\baseq3\g_needpass\0
ClientConnect:;2
ClientUserinfoChanged:;2 n\Isgalamido\t\0\model\uriel/zael\hmodel\uriel/zael\g_redteam\\g_blueteam\\c1\5\c2\5\hc\100\w\0\l\0\tt\0\tl\0
ClientBegin:;2
Item:;2 weapon_rocketlauncher
Item:;2 ammo_rockets
Item:;2 item_armor_body
Kill:;1022 2 22: <world> killed Isgalamido by MOD_TRIGGER_HURT
Item:;2 weapon_rocketlauncher
Item:;2 ammo_shells
Kill:;1022 2 22: <world> killed Isgalamido by MOD_TRIGGER_HURT
ClientDisconnect:;2
ClientConnect:;2
ClientUserinfoChanged:;2 n\Isgalamido\t\0\model\uriel/zael\hmodel\uriel/zael\g_redteam\\g_blueteam\\c1\5\c2\5\hc\100\w\0\l\0\tt\0\tl\0
ClientUserinfoChanged:;2 n\Isgalamido\t\0\model\uriel/zael\hmodel\uriel/zael\g_redteam\\g_blueteam\\c1\5\c2\5\hc\100\w\0\l\0\tt\0\tl\0
ClientBegin:;2
Item:;2 weapon_rocketlauncher
Item:;2 item_armor_body
Item:;2 item_health_large
Item:;2 weapon_rocketlauncher
Item:;2 ammo_rockets
Kill:;1022 2 22: <world> killed Isgalamido by MOD_TRIGGER_HURT
Item:;2 weapon_rocketlauncher
ClientConnect:;3
ClientUserinfoChanged:;3 n\Dono da Bola\t\0\model\sarge/krusade\hmodel\sarge/krusade\g_redteam\\g_blueteam\\c1\5\c2\5\hc\95\w\0\l\0\tt\0\tl\0
ClientUserinfoChanged:;3 n\Mocinha\t\0\model\sarge\hmodel\sarge\g_redteam\\g_blueteam\\c1\4\c2\5\hc\95\w\0\l\0\tt\0\tl\0
ClientBegin:;3
Item:;2 weapon_rocketlauncher
Item:;2 ammo_rockets
Kill:;2 3 7: Isgalamido killed Mocinha by MOD_ROCKET_SPLASH
Item:;2 item_quad
ClientDisconnect:;3
Kill:;2 2 7: Isgalamido killed Isgalamido by MOD_ROCKET_SPLASH
Item:;2 weapon_rocketlauncher
Item:;2 ammo_rockets
Kill:;2 2 7: Isgalamido killed Isgalamido by MOD_ROCKET_SPLASH
Item:;2 weapon_rocketlauncher
Item:;2 item_armor_body
Kill:;1022 2 22: <world> killed Isgalamido by MOD_TRIGGER_HURT
Item:;2 weapon_rocketlauncher
Item:;2 ammo_rockets
Item:;2 item_health_large
Item:;2 item_health_large
Item:;2 weapon_rocketlauncher
Item:;2 item_armor_body
Item:;2 ammo_rockets
Item:;2 weapon_rocketlauncher
Item:;2 item_armor_shard
Item:;2 item_armor_shard
Item:;2 item_armor_shard
Item:;2 item_armor_combat
Item:;2 weapon_rocketlauncher
Item:;2 weapon_shotgun
Item:;2 ammo_shells
Item:;2 item_armor_shard
Item:;2 item_armor_shard
Item:;2 item_armor_shard
Item:;2 item_armor_combat
Item:;2 item_health_large
Item:;2 ammo_rockets
Item:;2 weapon_rocketlauncher
Item:;2 item_armor_body
Item:;2 ammo_rockets
Item:;2 weapon_rocketlauncher
Item:;2 item_health_large
